,Position,Track Name,Artist,URL,Filename,Unnamed: 0,Month,Week Number,Type,Date
16,17,Futsal Shuffle 2020,Lil Uzi Vert,https://open.spotify.com/track/2Ec33AVlkTTq8BHFgBTdQs,jan_viral_50.csv,16.0,January,,Viral 50,
17,18,Roses - Imanbek Remix,SAINt JHN,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,jan_viral_50.csv,17.0,January,,Viral 50,
18,19,Adore You,Harry Styles,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,jan_viral_50.csv,18.0,January,,Viral 50,
19,20,Blinding Lights,The Weeknd,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD,jan_viral_50.csv,19.0,January,,Viral 50,
20,21,Falling,Harry Styles,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp,jan_viral_50.csv,20.0,January,,Viral 50,
21,22,If the World Was Ending - feat. Julia Michaels,JP Saxe,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ,jan_viral_50.csv,21.0,January,,Viral 50,
22,23,High Fashion (feat. Mustard),Roddy Ricch,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm,jan_viral_50.csv,22.0,January,,Viral 50,
23,24,My Oh My (feat. DaBaby),Camila Cabello,https://open.spotify.com/track/3yOlyBJuViE2YSGn3nVE1K,jan_viral_50.csv,23.0,January,,Viral 50,
24,25,ROXANNE,Arizona Zervas,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,jan_viral_50.csv,24.0,January,,Viral 50,
25,26,FML,Arizona Zervas,https://open.spotify.com/track/6lruHh1jF7ezgbLv72xYmf,jan_viral_50.csv,25.0,January,,Viral 50,
26,27,"Born to Be Brave - From ""High School Musical: The Musical: The Series""",Cast of High School Musical: The Musical: The Series,https://open.spotify.com/track/68Q2XfjYwOTdIlLhnfeXib,jan_viral_50.csv,26.0,January,,Viral 50,
27,28,Texas Sun,Khruangbin,https://open.spotify.com/track/3k5oLgungD1dSOGLqQdIQw,jan_viral_50.csv,27.0,January,,Viral 50,
28,29,Somebody Like That,Tenille Arts,https://open.spotify.com/track/7EwqgVclB4d5sosUReAInr,jan_viral_50.csv,28.0,January,,Viral 50,
29,30,Just the Way,Parmalee,https://open.spotify.com/track/5PAvFGse5jjDH9ke8Mae7D,jan_viral_50.csv,29.0,January,,Viral 50,
30,31,Trying My Best,Anson Seabra,https://open.spotify.com/track/06qUEhhx6jKQmhj2qAkn4H,jan_viral_50.csv,30.0,January,,Viral 50,
31,32,Maniac,Conan Gray,https://open.spotify.com/track/7hpJ9tATWb2vztlq99hERP,jan_viral_50.csv,31.0,January,,Viral 50,
32,33,ORANGE SODA,Baby Keem,https://open.spotify.com/track/5FkoSXiJPKTNyYgALRJFhD,jan_viral_50.csv,32.0,January,,Viral 50,
33,34,Way Maker - Live,Leeland,https://open.spotify.com/track/40ozK0lCJ0EQzVGWsCNUhk,jan_viral_50.csv,33.0,January,,Viral 50,
34,35,Don't Start Now,Dua Lipa,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,jan_viral_50.csv,34.0,January,,Viral 50,
35,36,Tusa,KAROL G,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,jan_viral_50.csv,35.0,January,,Viral 50,
36,37,"I Think I Kinda, You Know - Duet",Olivia Rodrigo,https://open.spotify.com/track/2UVrIJBJVRPN9UgzShCJ5c,jan_viral_50.csv,36.0,January,,Viral 50,
37,38,Nobody But You (Duet with Gwen Stefani),Blake Shelton,https://open.spotify.com/track/5M8goiFYynmNxhueYW6grR,jan_viral_50.csv,37.0,January,,Viral 50,
38,39,Sigues Con El,Dímelo Flow,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3,jan_viral_50.csv,38.0,January,,Viral 50,
39,40,In The Party,Flo Milli,https://open.spotify.com/track/2JF8KwK1hH7MWxKcFdTlcg,jan_viral_50.csv,39.0,January,,Viral 50,
40,41,Y U Gotta B Like That,Audrey Mika,https://open.spotify.com/track/45StvejYUdIsyUwqdZ7iJM,jan_viral_50.csv,40.0,January,,Viral 50,
41,42,Dance Monkey,Tones And I,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,jan_viral_50.csv,41.0,January,,Viral 50,
42,43,stupid,Tate McRae,https://open.spotify.com/track/4k3uABcX9iaGlt5pRJhumi,jan_viral_50.csv,42.0,January,,Viral 50,
43,44,Heart On Ice,Rod Wave,https://open.spotify.com/track/6fWa5CRgy0z30OeGZyMBvD,jan_viral_50.csv,43.0,January,,Viral 50,
44,45,Ballin' (with Roddy Ricch),Mustard,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY,jan_viral_50.csv,44.0,January,,Viral 50,
45,46,Peta (feat. Meek Mill),Roddy Ricch,https://open.spotify.com/track/4bl1HBZliBuYpFZjWgefE4,jan_viral_50.csv,45.0,January,,Viral 50,
46,47,everything i wanted,Billie Eilish,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,jan_viral_50.csv,46.0,January,,Viral 50,
47,48,Holy Water,We The Kingdom,https://open.spotify.com/track/1xI9KSGNJB2eka8FMvovvi,jan_viral_50.csv,47.0,January,,Viral 50,
48,49,Under The Moon,070 Shake,https://open.spotify.com/track/3RDgzyHD6uMNdCVnQIkD32,jan_viral_50.csv,48.0,January,,Viral 50,
49,50,Mind Is A Prison,Alec Benjamin,https://open.spotify.com/track/4GGSmoTmc5LClrowB4SmEw,jan_viral_50.csv,49.0,January,,Viral 50,
50,1,GOODMORNINGTOKYO!,TOKYO’S REVENGE,https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp,jan_viral_50.csv,0.0,January,,Viral 50,
