,Position,Track Name,Artist,Streams,URL,Filename,Month,Week Number,Type,Date
77,78,Savage Remix (feat. Beyoncé),Megan Thee Stallion,2307302,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
78,79,Dior,Pop Smoke,2298786,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
79,80,Mad at Disney,salem ilese,2290121,https://open.spotify.com/track/7aGyRfJWtLqgJaZoG9lJhE,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
80,81,ZTFO,Big Sean,2278265,https://open.spotify.com/track/0z36JaXXoFXuPuQucKEsdx,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
81,82,Prospect (ft. Lil Baby),iann dior,2273824,https://open.spotify.com/track/4iHSE5R1U8jf84tRn52xRt,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
82,83,my future,Billie Eilish,2229165,https://open.spotify.com/track/2ygvZOXrIeVL4xZmAWJT2C,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
83,84,HIGHEST IN THE ROOM,Travis Scott,2227790,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
84,85,exile (feat. Bon Iver),Taylor Swift,2216532,https://open.spotify.com/track/4pvb0WLRcMtbPGmtejJJ6y,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
85,86,More Than My Hometown,Morgan Wallen,2211907,https://open.spotify.com/track/0eBXyY4SatzpE7opnzgXvz,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
86,87,Bandit (with YoungBoy Never Broke Again),Juice WRLD,2190747,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
87,88,Del Mar,Ozuna,2185155,https://open.spotify.com/track/5cpJFiNwYyWwFLH0V6B3N8,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
88,89,ROXANNE,Arizona Zervas,2179131,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
89,90,Falling,Trevor Daniel,2173090,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
90,91,Are You Bored Yet? (feat. Clairo),Wallows,2170168,https://open.spotify.com/track/57RA3JGafJm5zRtKJiKPIm,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
91,92,the 1,Taylor Swift,2166149,https://open.spotify.com/track/0Jlcvv8IykzHaSmj49uNW8,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
92,93,Stunnin' (feat. Harm Franklin),Curtis Waters,2150975,https://open.spotify.com/track/2D0dj3hVkRQJCp63cxCPEx,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
93,94,Ballin' (with Roddy Ricch),Mustard,2142962,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
94,95,Walk Em Down (feat. Roddy Ricch),NLE Choppa,2127098,https://open.spotify.com/track/1Z0cZI0UzNbP9L8MzzGxqf,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
95,96,Deep Reverence (feat. Nipsey Hussle),Big Sean,2114583,https://open.spotify.com/track/2CDcXWYWilHTXrsOXJza8n,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
96,97,Rags2Riches (feat. ATR Son Son),Rod Wave,2112530,https://open.spotify.com/track/1ENdcyhqdylaLsPVgB83qq,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
97,98,Chasin' You,Morgan Wallen,2107139,https://open.spotify.com/track/5MwynWK9s4hlyKHqhkNn4A,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
98,99,Money Trees,Kendrick Lamar,2091799,https://open.spotify.com/track/2HbKqm4o0w5wEeEFXm2sD4,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
99,100,Chicago Freestyle (feat. Giveon),Drake,2063803,https://open.spotify.com/track/4wVOKKEHUJxHCFFNUWDn0B,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
100,101,SICKO MODE,Travis Scott,2060648,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
101,102,If the World Was Ending - feat. Julia Michaels,JP Saxe,2021804,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ,regional-us-weekly-2020-09-04--2020-09-11.csv,September,36,Top 200,2020-09-04
