,Position,Track Name,Artist,Streams,URL,Filename,Month,Date,Week Number,Type
78,79,West Coast Shit (feat. Tyga & Quavo),Pop Smoke,2545924,https://open.spotify.com/track/1JDhNQ0oOT7XpclZn3aQ8F,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
79,80,Dance Monkey,Tones And I,2477476,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
80,81,SICKO MODE,Travis Scott,2454808,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
81,82,BOP,DaBaby,2412715,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
82,83,Breaking Me,Topic,2390651,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
83,84,"Ego Death (feat. Kanye West, FKA twigs & Skrillex)",Ty Dolla $ign,2378852,https://open.spotify.com/track/4JB0EAT4BkLShTyTt50FmO,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
84,85,Chasin' You,Morgan Wallen,2368732,https://open.spotify.com/track/5MwynWK9s4hlyKHqhkNn4A,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
85,86,Godzilla (feat. Juice WRLD),Eminem,2315095,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
86,87,Emotionally Scarred,Lil Baby,2296581,https://open.spotify.com/track/7ge7BHazYbVKi8qyZUX1Bm,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
87,88,Hasta Que Dios Diga,Anuel AA,2294847,https://open.spotify.com/track/06s3QtMJVXw1AJX3UfvZG1,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
88,89,Jocelyn Flores,XXXTENTACION,2274889,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
89,90,Whiskey Glasses,Morgan Wallen,2258459,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
90,91,Shotta Flow 5,NLE Choppa,2216569,https://open.spotify.com/track/1orjH4IkSH9VrWmRCToKV8,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
91,92,Play Date,Melanie Martinez,2189818,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
92,93,Heartless (feat. Morgan Wallen),Diplo,2189670,https://open.spotify.com/track/3FU6urUVsgXa6RBuV2PdRk,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
93,94,Girls in the Hood,Megan Thee Stallion,2169238,https://open.spotify.com/track/6WbTTAGKrQtCQvmc5BuYfh,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
94,95,Flood My Wrist (feat. Lil Uzi Vert),A Boogie Wit da Hoodie,2104159,https://open.spotify.com/track/5Tj4faD9lGyMw8ZatUYR6G,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
95,96,Tunnel Vision (Outro),Pop Smoke,2097072,https://open.spotify.com/track/2SxR5RitJdsG6wINvJLBSD,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
96,97,Myron,Lil Uzi Vert,2090024,https://open.spotify.com/track/56uXDJRCuoS7abX3SkzHKQ,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
97,98,In Your Eyes,The Weeknd,2075634,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
98,99,SAD!,XXXTENTACION,2062966,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
99,100,everything i wanted,Billie Eilish,2057171,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
100,101,3 Headed Goat (feat. Lil Baby & Polo G),Lil Durk,2056530,https://open.spotify.com/track/2h4cmbyb6S7e8igDZIITJU,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
101,102,Reggaetonera,Anuel AA,2016657,https://open.spotify.com/track/6yVkakCN460KOVol9ZazjH,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
102,103,TKN (feat. Travis Scott),ROSALÍA,1964289,https://open.spotify.com/track/4w47S36wQGBhGg073q3nt7,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
103,104,Diana (feat. King Combs),Pop Smoke,1959283,https://open.spotify.com/track/4Tc9PHEoeP17PQj3OOKXPu,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
104,105,That Way - Bonus Track,Lil Uzi Vert,1940134,https://open.spotify.com/track/2ajzBr7vwHTEBeqDzcsNRC,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
105,106,You'll Be Back,Jonathan Groff,1936289,https://open.spotify.com/track/6OG1S805gIrH5nAQbEOPY3,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
106,107,SLOW DANCING IN THE DARK,Joji,1934753,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
107,108,Drip Too Hard (Lil Baby & Gunna),Lil Baby,1911153,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
108,109,Suicidal (Remix) [feat. Juice WRLD],YNW Melly,1904969,https://open.spotify.com/track/4S2uhQE8L9V6p7rj7SiauJ,regional-us-weekly-2020-07-03--2020-07-10.csv,July,2020-07-03,27,Top 200
