,Position,Track Name,Artist,Streams,URL,Filename,Month,Date,Week Number,Type
60,61,If the World Was Ending - feat. Julia Michaels,JP Saxe,2982149,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
61,62,Bandit (with YoungBoy Never Broke Again),Juice WRLD,2851257,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
62,63,BOP,DaBaby,2833919,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
63,64,@ MEH,Playboi Carti,2815582,https://open.spotify.com/track/5UusfWUMMLEXLMc1ViNZoe,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
64,65,Yo Perreo Sola,Bad Bunny,2790749,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
65,66,Broke In A Minute,Tory Lanez,2740127,https://open.spotify.com/track/4xqIYGwwZTEem9U8A42SPF,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
66,67,everything i wanted,Billie Eilish,2733209,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
67,68,Six Feet Apart,Luke Combs,2713029,https://open.spotify.com/track/5v6gozUHFv9OoNdFYz6p8V,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
68,69,FIND MY WAY,DaBaby,2693525,https://open.spotify.com/track/1gVCEnryJhkdQcuC0Kbvor,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
69,70,Robbery,Juice WRLD,2672694,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
70,71,Before You Go,Lewis Capaldi,2566134,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
71,72,That Way - Bonus Track,Lil Uzi Vert,2527465,https://open.spotify.com/track/2ajzBr7vwHTEBeqDzcsNRC,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
72,73,Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake),Lil Yachty,2475677,https://open.spotify.com/track/7wsmIIm0xWmtP7TmACXkJn,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
73,74,All Girls Are The Same,Juice WRLD,2431482,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
74,75,Selfish,Madison Beer,2431354,https://open.spotify.com/track/4PV0uE5pZSh44E3NqNNDEH,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
75,76,ily (i love you baby) (feat. Emilee),Surf Mesa,2417552,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
76,77,Safaera,Bad Bunny,2386886,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200
