,Position,Track Name,Artist,URL,Filename,Month,Week Number,Type
42,43,Pain,Nessa Barrett,https://open.spotify.com/track/1vwTCUJxmGlTuClU5YLfJA,viral-us-weekly-2020-09-03--2020-09-03.csv,September,4,Viral
43,44,Kismet,WHOKILLEDXIX,https://open.spotify.com/track/24hPnL2Yr82INEk0YUWCJr,viral-us-weekly-2020-09-03--2020-09-03.csv,September,4,Viral
44,45,Save Me,Jelly Roll,https://open.spotify.com/track/5ShenzydHxkHm8w6vdJxMT,viral-us-weekly-2020-09-03--2020-09-03.csv,September,4,Viral
45,46,you broke me first,Tate McRae,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR,viral-us-weekly-2020-09-03--2020-09-03.csv,September,4,Viral
46,47,Muwop (feat. Gucci Mane),Mulatto,https://open.spotify.com/track/231WYcXWUxYSx79tuPtzBk,viral-us-weekly-2020-09-03--2020-09-03.csv,September,4,Viral
47,48,Cowpoke,Colter Wall,https://open.spotify.com/track/1FJDhcC36CbA16lMIxgT1F,viral-us-weekly-2020-09-03--2020-09-03.csv,September,4,Viral
48,49,Obnimi (Callmearco Remix),Okean Elzi,https://open.spotify.com/track/1ZbJScG0Dr74y1hvgDneYm,viral-us-weekly-2020-09-03--2020-09-03.csv,September,4,Viral
49,50,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S,viral-us-weekly-2020-09-03--2020-09-03.csv,September,4,Viral
0,1,Mad at Disney,salem ilese,https://open.spotify.com/track/7aGyRfJWtLqgJaZoG9lJhE,viral-us-weekly-2020-09-10--2020-09-10.csv,September,4,Viral
1,2,Whole Lotta Choppas,Sada Baby,https://open.spotify.com/track/6hLZzCS4E7AWo3PRBWy6az,viral-us-weekly-2020-09-10--2020-09-10.csv,September,4,Viral
2,3,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,https://open.spotify.com/track/2DQNYMRjisN3KAPj1bEwOI,viral-us-weekly-2020-09-10--2020-09-10.csv,September,4,Viral
3,4,Put Your Records On,Ritt Momney,https://open.spotify.com/track/1fah1uAs7HeTYDlNftKr3K,viral-us-weekly-2020-09-10--2020-09-10.csv,September,4,Viral
4,5,Sálvame,RBD,https://open.spotify.com/track/3hbTkJ0yFzHbawnKyhvTQj,viral-us-weekly-2020-09-10--2020-09-10.csv,September,4,Viral
5,6,Throat Baby (Go Baby),BRS Kash,https://open.spotify.com/track/31iqpzg1ZXLLgq0L5iIwLe,viral-us-weekly-2020-09-10--2020-09-10.csv,September,4,Viral
6,7,WAP (feat. Megan Thee Stallion),Cardi B,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih,viral-us-weekly-2020-09-10--2020-09-10.csv,September,4,Viral
7,8,Mood (feat. iann dior),24kGoldn,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq,viral-us-weekly-2020-09-10--2020-09-10.csv,September,4,Viral
8,9,You Got It,Vedo,https://open.spotify.com/track/4lsHZ92XCFOQfzJFBTluk8,viral-us-weekly-2020-09-10--2020-09-10.csv,September,4,Viral
9,10,Losing You,WONHO,https://open.spotify.com/track/2Bk8jjFB0FfAFYUIxihOnG,viral-us-weekly-2020-09-10--2020-09-10.csv,September,4,Viral
10,11,Solo Quédate En Silencio,RBD,https://open.spotify.com/track/2RJ1fg4qf2vgZKifTa4HgA,viral-us-weekly-2020-09-10--2020-09-10.csv,September,4,Viral
11,12,Rebelde,RBD,https://open.spotify.com/track/56tOMi4N980gmsdUoyaLb3,viral-us-weekly-2020-09-10--2020-09-10.csv,September,4,Viral
12,13,Este Corazón,RBD,https://open.spotify.com/track/0bMVCO35RJiUhAfvFsLjIF,viral-us-weekly-2020-09-10--2020-09-10.csv,September,4,Viral
13,14,Stuck in the Middle,Tai Verdes,https://open.spotify.com/track/2HQPOVBAOU2EBTy1nBGRiW,viral-us-weekly-2020-09-10--2020-09-10.csv,September,4,Viral
14,15,Nuestro Amor,RBD,https://open.spotify.com/track/7F7qwp7VZRVwZsNoddRRgX,viral-us-weekly-2020-09-10--2020-09-10.csv,September,4,Viral
15,16,Ashes,Stellar,https://open.spotify.com/track/2NeyJbL3ROKCjRkAjs77ya,viral-us-weekly-2020-09-10--2020-09-10.csv,September,4,Viral
16,17,Heather,Conan Gray,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA,viral-us-weekly-2020-09-10--2020-09-10.csv,September,4,Viral
17,18,3 Musketeers,NextYoungin,https://open.spotify.com/track/57Oi4yqY27uJzCyqFWIP5q,viral-us-weekly-2020-09-10--2020-09-10.csv,September,4,Viral
18,19,Eyes Blue Like The Atlantic (feat. Subvrbs),Sista Prod,https://open.spotify.com/track/0qUcpOOna3kkrwfqky85e1,viral-us-weekly-2020-09-10--2020-09-10.csv,September,4,Viral
