,Unnamed: 0,Position,Track Name,Artist,Streams,URL,Filename,Month,Week Number,Type,Date,Artist ID,Genre 1,Genre 2,Genre 3
662,62,63,"10,000 Hours (with Justin Bieber)",Dan + Shay,2723554,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa,regional-us-weekly-2020-03-20--2020-03-27.csv,March,12,Top 200,2020-03-20,7z5WFjZAIYejWy0NI5lv4T,contemporary country,country,pop
663,63,64,Si Veo a Tu Mamá,Bad Bunny,2717044,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F,regional-us-weekly-2020-03-20--2020-03-27.csv,March,12,Top 200,2020-03-20,4q3ewBCX7sLwd24euuV69X,latin,reggaeton,trap latino
664,64,65,If the World Was Ending - feat. Julia Michaels,JP Saxe,2710255,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ,regional-us-weekly-2020-03-20--2020-03-27.csv,March,12,Top 200,2020-03-20,66W9LaWS0DPdL7Sz8iYGYe,alt z,canadian contemporary r&b,indie cafe pop
665,65,66,Moral of the Story,Ashe,2708172,https://open.spotify.com/track/2nC3QhMI9reBIOWutbU3Tj,regional-us-weekly-2020-03-20--2020-03-27.csv,March,12,Top 200,2020-03-20,6P5NO5hzJbuOqSdyPB7SJM,alt z,electropop,indie pop
666,66,67,Rojo,J Balvin,2658251,https://open.spotify.com/track/380HmhwTE2NJgawn1NwkXi,regional-us-weekly-2020-03-20--2020-03-27.csv,March,12,Top 200,2020-03-20,1vyhD5VmyZ7KMfW5gqLgo5,latin,reggaeton,reggaeton colombiano
667,67,68,No Idea,Don Toliver,2656324,https://open.spotify.com/track/7AzlLxHn24DxjgQX73F9fU,regional-us-weekly-2020-03-20--2020-03-27.csv,March,12,Top 200,2020-03-20,4Gso3d4CscCijv0lmajZWs,rap,trap,
668,68,69,You should be sad,Halsey,2639238,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK,regional-us-weekly-2020-03-20--2020-03-27.csv,March,12,Top 200,2020-03-20,26VFTg2z8YR0cCuwLzESi2,dance pop,electropop,etherpop
669,69,70,TOES (feat. Lil Baby & Moneybagg Yo),DaBaby,2619219,https://open.spotify.com/track/2FvD20Z8aoWIePi7PoN8sG,regional-us-weekly-2020-03-20--2020-03-27.csv,March,12,Top 200,2020-03-20,4r63FhuTkUYltbVAg5TQnk,north carolina hip hop,rap,
670,70,71,Yessirskiii,Lil Uzi Vert,2605364,https://open.spotify.com/track/59JWp4PjZ9TRM8cmtaDYB1,regional-us-weekly-2020-03-20--2020-03-27.csv,March,12,Top 200,2020-03-20,4O15NlyKLIASxsJ0PrXPfz,melodic rap,philly rap,rap
671,71,72,Sum 2 Prove,Lil Baby,2579529,https://open.spotify.com/track/5f4Hy5mw5SRaUgXX9c6P5S,regional-us-weekly-2020-03-20--2020-03-27.csv,March,12,Top 200,2020-03-20,5f7VJjfbwm532GiveGC0ZK,atl hip hop,atl trap,rap
672,72,73,Maniac,Conan Gray,2511182,https://open.spotify.com/track/6KfoDhO4XUWSbnyKjNp9c4,regional-us-weekly-2020-03-20--2020-03-27.csv,March,12,Top 200,2020-03-20,4Uc8Dsxct0oMqx0P6i60ea,alt z,bedroom pop,electropop
673,73,74,B.S. (feat. H.E.R.),Jhené Aiko,2509565,https://open.spotify.com/track/63wx9vdskaXbYxyDx4oJCZ,regional-us-weekly-2020-03-20--2020-03-27.csv,March,12,Top 200,2020-03-20,5ZS223C6JyBfXasXxrRqOk,alternative r&b,dance pop,pop
674,74,75,bad guy,Billie Eilish,2506543,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,regional-us-weekly-2020-03-20--2020-03-27.csv,March,12,Top 200,2020-03-20,6qqNVTkY8uBg9cP3Jd7DAH,electropop,pop,
675,75,76,Forever (feat. Post Malone & Clever),Justin Bieber,2433599,https://open.spotify.com/track/2ZlCGeK30BLRNSPC832pNZ,regional-us-weekly-2020-03-20--2020-03-27.csv,March,12,Top 200,2020-03-20,1uNFoZAHBGtllmzznpCI3s,canadian pop,pop,post-teen pop
676,76,77,All Girls Are The Same,Juice WRLD,2427912,https://open.spotify.com/track/4VXIryQMWpIdGgYR4TrjT1,regional-us-weekly-2020-03-20--2020-03-27.csv,March,12,Top 200,2020-03-20,4MCBfE4596Uoi2O4DtmEMz,chicago rap,melodic rap,
677,77,78,HIGHEST IN THE ROOM,Travis Scott,2425170,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,regional-us-weekly-2020-03-20--2020-03-27.csv,March,12,Top 200,2020-03-20,0Y5tJX1MQlPlqiwlOH1tJY,rap,slap house,
678,78,79,SUGAR,BROCKHAMPTON,2403246,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA,regional-us-weekly-2020-03-20--2020-03-27.csv,March,12,Top 200,2020-03-20,1Bl6wpkWCQ4KVgnASpvzzA,boy band,hip hop,rap
