,Position,Track Name,Artist,URL,Filename,Month,Date,Week Number,Type,Artist ID,Genre 1,Genre 2,Genre 3
47,48,Left Hand Free,alt-J,https://open.spotify.com/track/4iEOVEULZRvmzYSZY2ViKN,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50,3XHO7cRUPCLOr6jwp8vsx5,indie rock,modern rock,
48,49,Sirius - Chicago Bulls Theme Song,The Alan Parsons Project,https://open.spotify.com/track/4OV0sRTFrZLXaZZ1sS9hLn,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50,2m62cc253Xvd9qYQ8d2X3d,album rock,art rock,classic rock
49,50,Comatose,jxdn,https://open.spotify.com/track/1FIv5SzIBWmCF5Xmt8N6BD,viral-us-weekly-2020-05-07--2020-05-07.csv,May,2020-05-07,19,Viral 50,6Y64EaNqpqcZYTgs4c76gF,social media pop,,
50,1,Sexy,JoeVille,https://open.spotify.com/track/2n0vHNx05rdQaTrs2R6Ty7,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50,6Rf6w9LrInrRvLTh0sEzVW,unspecified,,
51,2,Судно (Борис Рижий),Molchat Doma,https://open.spotify.com/track/6DONTnamNDOJdO6DzCu71p,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50,1nVq0hKIVReeaiB3xJgKf0,belarusian indie,russian post-punk,sovietwave
52,3,50//50,Vantage,https://open.spotify.com/track/36lNDeaRf8F8aYaP0zaHpm,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50,6owH8F2INpb18PhnISiVh2,future funk,,
53,4,Deep End Freestyle,Sleepy Hallow,https://open.spotify.com/track/4zTPYAf5scZdp0LnwPPeWK,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50,6EPlBSH2RSiettczlz7ihV,brooklyn drill,nyc rap,
54,5,ROCKSTAR (feat. Roddy Ricch),DaBaby,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50,4r63FhuTkUYltbVAg5TQnk,north carolina hip hop,rap,
55,6,ily (i love you baby) (feat. Emilee),Surf Mesa,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50,1lmU3giNF3CSbkVSQmLpHQ,tropical house,,
56,7,IDK You Yet,Alexander 23,https://open.spotify.com/track/47EWMOElkkbMp5m9SBkx7d,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50,6sFHvCyqklnJpXC9Nh1aag,alt z,electropop,indie cafe pop
57,8,Ruthless (Nice Guys Always Finish Last),MarMar Oso,https://open.spotify.com/track/6HeCk6yewXH7WO4D93eub9,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50,5rGbtFeEVjymN6xzE8opA6,pop r&b,,
58,9,Play Date,Melanie Martinez,https://open.spotify.com/track/4DpNNXFMMxQEKl7r0ykkWA,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50,63yrD80RY3RNEM2YDpUpO8,alt z,dance pop,electropop
59,10,Yoga,645AR,https://open.spotify.com/track/2DiybJZJGXyV1UYmngo3eq,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50,3Iv3mOsjFV8vZkXphpQ8hz,unspecified,,
60,11,Rockstar Shit,BLIND.SEE,https://open.spotify.com/track/2MvxhedNhxhj32eVQJnmII,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50,6SSQog9cu2XcgHTRHPmECq,viral rap,,
61,12,LMK,Lil Xxel,https://open.spotify.com/track/4s0hDz7zGgZUav9EvzyLsB,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50,7iDeMFJKjI1ak40N3hoYOZ,pop r&b,,
62,13,I Like Him,Princess Nokia,https://open.spotify.com/track/68UU9oaQtMDnh6PRlW842H,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50,6lay1nwbE6hTx1jivysUAL,escape room,lgbtq+ hip hop,trap queen
63,14,LEMONS - Demo,Brye,https://open.spotify.com/track/5ukAQcKEIJuzIbP55xp07x,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50,6Z5uMO0V6jlOuZ7LUDrSsC,indie pop,modern indie pop,
64,15,Rover (feat. DTG),S1mba,https://open.spotify.com/track/4slSrbTK1sNK4I1mDYEthf,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50,71jSVPQ6yskfyvWeiwvT5s,afroswing,,
65,16,Con Tus Besos,Eslabon Armado,https://open.spotify.com/track/6WYB1odDfMPVMyp1QxFInT,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50,0XeEobZplHxzM9QzFQWLiR,corridos tumbados,nuevo regional mexicano,sierreno
66,17,Roses - Imanbek Remix,SAINt JHN,https://open.spotify.com/track/24Yi9hE78yPEbZ4kxyoXAI,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50,0H39MdGGX6dbnnQPt6NQkZ,melodic rap,rap,slap house
67,18,Window,Still Woozy,https://open.spotify.com/track/3hARuUtzTdUuWH1KiLJlSf,viral-us-weekly-2020-05-14--2020-05-14.csv,May,2020-05-14,20,Viral 50,4iMO20EPodreIaEl8qW66y,bedroom pop,modern rock,oakland indie
