,Position,Track Name,Artist,Streams,URL,Filename,1,Mood (feat. iann dior),24kGoldn,https://open.spotify.com/track/3tjFYV6RSFtuktYl3ZtYcq,Mad at Disney,salem ilese,https://open.spotify.com/track/7aGyRfJWtLqgJaZoG9lJhE,Lets Link,WhoHeem,https://open.spotify.com/track/6fMzgFFGzWCwiHMzDzNpp5,No Wind Resistance!,Kinneret,https://open.spotify.com/track/78Vm1H6bT8WQyPNyx7HBhP,Put Your Records On,Ritt Momney,https://open.spotify.com/track/6AGOKlMZWLCaEJGnaROtF9,Die Very Rough,Mario Judah,https://open.spotify.com/track/1AyrLa7PkFQvt1A6XQY3ff,E-GIRLS ARE RUINING MY LIFE!,CORPSE,https://open.spotify.com/track/7bCfHiRcfUjG0YVVNUL7Ve,Gdzie jest biały węgorz ? (Zejście),Cypis,https://open.spotify.com/track/4fNbS43X6yt4iWxLgRqwKa,Home,Edith Whiskers,https://open.spotify.com/track/18V1UiYRvWYwn01CRDbbuR,Mayonaka no Door / Stay With Me,Miki Matsubara,https://open.spotify.com/track/2BHj31ufdEqVK5CkYDp9mA
45,46.0,Righteous,Juice WRLD,3064701.0,https://open.spotify.com/track/5dOxHHMOFAbG3VH23t0xNm,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,47.0,Got It On Me,Pop Smoke,3031655.0,https://open.spotify.com/track/25zlnOAzbVoOzIeXSvQFf1,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,48.0,21,Polo G,2965806.0,https://open.spotify.com/track/3JKgcAa7r07ocVWcV8bS0H,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,49.0,the 1,Taylor Swift,2939497.0,https://open.spotify.com/track/0Jlcvv8IykzHaSmj49uNW8,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,50.0,After Party,Don Toliver,2804934.0,https://open.spotify.com/track/527k23H0A4Q0UJN3vGs0Da,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,51.0,Martin & Gina,Polo G,2777681.0,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,52.0,GO (feat. Juice WRLD),The Kid LAROI,2765400.0,https://open.spotify.com/track/2rPHUAeUPbNgTmK18FPTiZ,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,53.0,UN DIA (ONE DAY) (Feat. Tainy),J Balvin,2761917.0,https://open.spotify.com/track/0EhpEsp4L0oRGM0vmeaN5e,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,54.0,Adore You,Harry Styles,2742006.0,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,55.0,Hawái,Maluma,2736231.0,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,56.0,Before You Go,Lewis Capaldi,2726209.0,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,57.0,Flex (feat. Juice WRLD),Polo G,2696266.0,https://open.spotify.com/track/2QqJTIlGKRLJC3onkavYEz,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,58.0,Life Is Good (feat. Drake),Future,2686002.0,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,59.0,Toosie Slide,Drake,2679488.0,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,60.0,WHATS POPPIN,Jack Harlow,2679279.0,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,61.0,Breaking Me,Topic,2644155.0,https://open.spotify.com/track/3H7ihDc1dqLriiWXwsc2po,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,62.0,Someone You Loved,Lewis Capaldi,2618589.0,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,63.0,Sunday Best,Surfaces,2603716.0,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,64.0,you broke me first,Tate McRae,2601516.0,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,65.0,THE SCOTTS,THE SCOTTS,2598914.0,https://open.spotify.com/track/39Yp9wwQiSRIDOvrVg7mbk,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,66.0,hot girl bummer,blackbear,2588703.0,https://open.spotify.com/track/2mt1IqcFyY1zmYZT8Q3xw9,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,67.0,Savage Remix (feat. Beyoncé),Megan Thee Stallion,2583780.0,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,68.0,goosebumps,Travis Scott,2515667.0,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,69.0,Rain On Me (with Ariana Grande),Lady Gaga,2512086.0,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,70.0,The Bigger Picture,Lil Baby,2503998.0,https://open.spotify.com/track/44gRhRi2OhEf7moAUj6MD1,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,71.0,Life's A Mess (feat. Halsey),Juice WRLD,2500200.0,https://open.spotify.com/track/5wWAwzGp2OaaoIkwcz6wZs,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,72.0,Intentions (feat. Quavo),Justin Bieber,2453265.0,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,73.0,Girls in the Hood,Megan Thee Stallion,2452182.0,https://open.spotify.com/track/6WbTTAGKrQtCQvmc5BuYfh,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,74.0,Prospect (ft. Lil Baby),iann dior,2424809.0,https://open.spotify.com/track/4iHSE5R1U8jf84tRn52xRt,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,75.0,Dior,Pop Smoke,2404912.0,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,76.0,Rags2Riches (feat. ATR Son Son),Rod Wave,2385802.0,https://open.spotify.com/track/1ENdcyhqdylaLsPVgB83qq,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,77.0,HIGHEST IN THE ROOM,Travis Scott,2382065.0,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,78.0,24 (feat. Lil Baby),Money Man,2357286.0,https://open.spotify.com/track/0xUvi7wldroBzaZCengPa5,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,79.0,Still Don't Know My Name,Labrinth,2342028.0,https://open.spotify.com/track/6N22FZs2ZhPBYi3b9XPajV,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,80.0,Walk Em Down (feat. Roddy Ricch),NLE Choppa,2314819.0,https://open.spotify.com/track/1Z0cZI0UzNbP9L8MzzGxqf,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,81.0,Stunnin' (feat. Harm Franklin),Curtis Waters,2308982.0,https://open.spotify.com/track/2D0dj3hVkRQJCp63cxCPEx,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,82.0,Break My Heart,Dua Lipa,2305402.0,https://open.spotify.com/track/017PF4Q3l4DBUiWoXk4OWT,regional-us-weekly-2020-08-21--2020-08-28.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
