,Unnamed: 0,Unnamed: 0.1,Position,Track Name,Artist,URL,Filename,Month,Week Number,Type,Date,Artist ID,Genre 1,Genre 2,Genre 3
76,76,26,27,Hawái,Maluma,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp,viral-us-weekly-2020-09-10--2020-09-10.csv,September,37,Viral 50,2020-09-10,1r4hJ1h58CWwUQe3MxPuau,latin,reggaeton,reggaeton colombiano
77,77,27,28,Un Poco De Tu Amor,RBD,https://open.spotify.com/track/64mK5Yd0rdGeXVkMFspEyt,viral-us-weekly-2020-09-10--2020-09-10.csv,September,37,Viral 50,2020-09-10,7cjh6y0V9SsyCrWSXTzwOs,latin,latin pop,pop
78,78,28,29,24 (feat. Lil Baby),Money Man,https://open.spotify.com/track/0xUvi7wldroBzaZCengPa5,viral-us-weekly-2020-09-10--2020-09-10.csv,September,37,Viral 50,2020-09-10,3Rx4PJ7SP6unkOk5elPUK7,atl trap,rap,southern hip hop
79,79,29,30,my ex's best friend (with blackbear),Machine Gun Kelly,https://open.spotify.com/track/70rFIfYN7lU6iTgUIVP42w,viral-us-weekly-2020-09-10--2020-09-10.csv,September,37,Viral 50,2020-09-10,6TIYQ3jFPwQSRmorSezPxX,ohio hip hop,pop rap,unspecified
80,80,30,31,GIVE HEAVEN SOME HELL,HARDY,https://open.spotify.com/track/2bVeUlOC5JjTpkQXuUUoYm,viral-us-weekly-2020-09-10--2020-09-10.csv,September,37,Viral 50,2020-09-10,5QNm7E7RU2m64l6Gliu8Oy,contemporary country,unspecified,unspecified
81,81,31,32,Aún Hay Algo,RBD,https://open.spotify.com/track/6fqpsCQ7jF7OgQolXgYovX,viral-us-weekly-2020-09-10--2020-09-10.csv,September,37,Viral 50,2020-09-10,7cjh6y0V9SsyCrWSXTzwOs,latin,latin pop,pop
82,82,32,33,Midnight Sky,Miley Cyrus,https://open.spotify.com/track/27ycaQnQAxaPiyeg3nr2aB,viral-us-weekly-2020-09-10--2020-09-10.csv,September,37,Viral 50,2020-09-10,5YGY8feqx7naU7z4HrwZM6,dance pop,pop,post-teen pop
83,83,33,34,F2020,Avenue Beat,https://open.spotify.com/track/7opTGnWVJcm1e5mWWOldpg,viral-us-weekly-2020-09-10--2020-09-10.csv,September,37,Viral 50,2020-09-10,1htYtUdXVMwR6HCSs821Lc,alt z,unspecified,unspecified
84,84,34,35,7 Summers,Morgan Wallen,https://open.spotify.com/track/0tbjiOUl4k492KPdWZS9sy,viral-us-weekly-2020-09-10--2020-09-10.csv,September,37,Viral 50,2020-09-10,4oUHIQIBe0LHzYfvXNW4QM,contemporary country,unspecified,unspecified
85,85,35,36,Laugh Now Cry Later (feat. Lil Durk),Drake,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI,viral-us-weekly-2020-09-10--2020-09-10.csv,September,37,Viral 50,2020-09-10,3TVXtAsR1Inumwj472S9r4,canadian hip hop,canadian pop,hip hop
