,Position,Track Name,Artist,Streams,URL,Filename,Month,Date,Week Number,Type,Artist ID,Genre 1,Genre 2,Genre 3
75,76,ily (i love you baby) (feat. Emilee),Surf Mesa,2417552,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,1lmU3giNF3CSbkVSQmLpHQ,tropical house,,
76,77,Safaera,Bad Bunny,2386886,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,4q3ewBCX7sLwd24euuV69X,latin,reggaeton,trap latino
77,78,We Paid (feat. 42 Dugg),Lil Baby,2367892,https://open.spotify.com/track/6gxKUmycQX7uyMwJcweFjp,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,5f7VJjfbwm532GiveGC0ZK,atl hip hop,atl trap,rap
78,79,Heart On Ice,Rod Wave,2351256,https://open.spotify.com/track/6fWa5CRgy0z30OeGZyMBvD,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,45TgXXqMDdF8BkjA83OM7z,florida rap,,
79,80,CITY OF ANGELS,24kGoldn,2345080,https://open.spotify.com/track/6ap9lSRJ0iLriGLqoJ44cq,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,6fWVd57NKTalqvmjRd2t8Z,cali rap,,
80,81,Money In The Grave (Drake ft. Rick Ross),Drake,2283345,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,3TVXtAsR1Inumwj472S9r4,canadian hip hop,canadian pop,hip hop
81,82,"10,000 Hours (with Justin Bieber)",Dan + Shay,2280928,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,7z5WFjZAIYejWy0NI5lv4T,contemporary country,country,pop
82,83,Woah,Lil Baby,2273415,https://open.spotify.com/track/02RCbjb9czvQKNGBmEmWob,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,5f7VJjfbwm532GiveGC0ZK,atl hip hop,atl trap,rap
83,84,OUT WEST (feat. Young Thug),JACKBOYS,2268359,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,7A8S43ryYdbWpJKeHRZRcq,rap,trap,
84,85,bad guy,Billie Eilish,2264822,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,6qqNVTkY8uBg9cP3Jd7DAH,electropop,pop,
85,86,Level of Concern,Twenty One Pilots,2256119,https://open.spotify.com/track/6xZ4Q2k2ompmDppyeESIY8,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,3YQKmKGau1PzlVlkL1iodx,modern rock,rock,
86,87,Whiskey Glasses,Morgan Wallen,2246559,https://open.spotify.com/track/6foY66mWZN0pSRjZ408c00,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,4oUHIQIBe0LHzYfvXNW4QM,contemporary country,,
87,88,lovely (with Khalid),Billie Eilish,2237488,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,6qqNVTkY8uBg9cP3Jd7DAH,electropop,pop,
88,89,Chasin' You,Morgan Wallen,2229868,https://open.spotify.com/track/5MwynWK9s4hlyKHqhkNn4A,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,4oUHIQIBe0LHzYfvXNW4QM,contemporary country,,
89,90,I’m Ready (with Demi Lovato),Sam Smith,2221415,https://open.spotify.com/track/1fipvP2zmef6vN2IwXfJhY,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,2wY79sveU1sp5g7SokKOiI,dance pop,pop,post-teen pop
90,91,Heartless,The Weeknd,2200314,https://open.spotify.com/track/6bnF93Rx87YqUBLSgjiMU8,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,1Xyo4u8uXC1ZmMpatF05PJ,canadian contemporary r&b,canadian pop,pop
91,92,Beautiful Crazy,Luke Combs,2176128,https://open.spotify.com/track/2rxQMGVafnNaRaXlRMWPde,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,718COspgdWOnwOFpJHRZHS,contemporary country,,
92,93,Jocelyn Flores,XXXTENTACION,2168288,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,15UsOTVnJzReFVN1VCnxy4,emo rap,miami hip hop,
93,94,You should be sad,Halsey,2158585,https://open.spotify.com/track/7lidXGPXPYLNThITAOTlkK,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,26VFTg2z8YR0cCuwLzESi2,dance pop,electropop,etherpop
94,95,Go Stupid (feat. NLE Choppa & Mike WiLL Made-It),Polo G,2153965,https://open.spotify.com/track/74fV8TuLZKVzSIOOGu8wwI,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,6AgTAQt8XS6jRWi4sX7w49,chicago rap,,
95,96,I Hope,Gabby Barrett,2137120,https://open.spotify.com/track/2Hc4t9N2nt37oO4sF9BynI,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,6Iz3eq2aQGFf7TbGT2iahL,contemporary country,,
96,97,Ransom,Lil Tecca,2091854,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,4Ga1P7PMIsmqEZqhYZQgDo,melodic rap,rap,trap
97,98,Skechers,DripReport,2086510,https://open.spotify.com/track/2alc8VZAzDgdAsL2QMk3hu,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,3O5HD95HTEPgoPFOjAb7yV,viral rap,,
98,99,Like That (feat. Gucci Mane),Doja Cat,2066610,https://open.spotify.com/track/4EivmOT13NMpNSfTKn9p4s,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,5cj0lLjcoR7YOSnhnX0Po5,dance pop,pop,pop rap
99,100,Suicidal,YNW Melly,2065687,https://open.spotify.com/track/1iSqfoUFnQwV0QW1EfUit8,regional-us-weekly-2020-05-01--2020-05-08.csv,May,2020-05-01,18,Top 200,1cNDP5yjU5vjeR8qMf4grg,melodic rap,trap,
