,Position,Track Name,Artist,URL,Filename,Month,Week Number,Type,Date,Artist ID,Genre 1,Genre 2,Genre 3
69,20,In The Party,Flo Milli,https://open.spotify.com/track/2JF8KwK1hH7MWxKcFdTlcg,viral-us-weekly-2020-01-02--2020-01-02.csv,January,1,Viral 50,2020-01-02,08PvCOlef4xdOr20jFSTPd,dance pop,pop,pop rap
70,21,Maniac,Conan Gray,https://open.spotify.com/track/7hpJ9tATWb2vztlq99hERP,viral-us-weekly-2020-01-02--2020-01-02.csv,January,1,Viral 50,2020-01-02,4Uc8Dsxct0oMqx0P6i60ea,alt z,bedroom pop,electropop
71,22,High Fashion (feat. Mustard),Roddy Ricch,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm,viral-us-weekly-2020-01-02--2020-01-02.csv,January,1,Viral 50,2020-01-02,757aE44tKEUQEqRuT6GnEB,melodic rap,rap,trap
72,23,"I Think I Kinda, You Know - Duet",Olivia Rodrigo,https://open.spotify.com/track/2UVrIJBJVRPN9UgzShCJ5c,viral-us-weekly-2020-01-02--2020-01-02.csv,January,1,Viral 50,2020-01-02,1McMsnEElThX1knmY4oliG,pop,post-teen pop,
73,24,B*tch From Da Souf (Remix),Mulatto,https://open.spotify.com/track/2zUbimuKNWDMCwbqNauLWV,viral-us-weekly-2020-01-02--2020-01-02.csv,January,1,Viral 50,2020-01-02,3MdXrJWsbVzdn6fe5JYkSQ,pop,pop r&b,r&b
74,25,Watermelon Sugar,Harry Styles,https://open.spotify.com/track/6UelLqGlWMcVH1E5c4H7lY,viral-us-weekly-2020-01-02--2020-01-02.csv,January,1,Viral 50,2020-01-02,6KImCVD70vtIoJWnq6nGn3,pop,post-teen pop,
75,26,SUGAR,BROCKHAMPTON,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA,viral-us-weekly-2020-01-02--2020-01-02.csv,January,1,Viral 50,2020-01-02,1Bl6wpkWCQ4KVgnASpvzzA,boy band,hip hop,rap
76,27,Tusa,KAROL G,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY,viral-us-weekly-2020-01-02--2020-01-02.csv,January,1,Viral 50,2020-01-02,790FomKkXshlbRYZFtlgla,latin,reggaeton,reggaeton colombiano
77,28,10%,KAYTRANADA,https://open.spotify.com/track/41SwdQIX8Hy2u6fuEDgvWr,viral-us-weekly-2020-01-02--2020-01-02.csv,January,1,Viral 50,2020-01-02,6qgnBH6iDM91ipVXv28OMu,escape room,indie soul,lgbtq+ hip hop
78,29,The Mop,TisaKorean,https://open.spotify.com/track/3osCREknZZMgitJFD4lECG,viral-us-weekly-2020-01-02--2020-01-02.csv,January,1,Viral 50,2020-01-02,6lEhBhAv6HOopjXssi09cq,houston rap,viral rap,
79,30,Don't Start Now,Dua Lipa,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg,viral-us-weekly-2020-01-02--2020-01-02.csv,January,1,Viral 50,2020-01-02,6M2wZ9GZgrQXHCFfjv46we,dance pop,pop,uk pop
80,31,Heart On Ice,Rod Wave,https://open.spotify.com/track/6fWa5CRgy0z30OeGZyMBvD,viral-us-weekly-2020-01-02--2020-01-02.csv,January,1,Viral 50,2020-01-02,45TgXXqMDdF8BkjA83OM7z,florida rap,,
81,32,ORANGE SODA,Baby Keem,https://open.spotify.com/track/5FkoSXiJPKTNyYgALRJFhD,viral-us-weekly-2020-01-02--2020-01-02.csv,January,1,Viral 50,2020-01-02,5SXuuuRpukkTvsLuUknva1,hip hop,rap,trap
82,33,Peta (feat. Meek Mill),Roddy Ricch,https://open.spotify.com/track/4bl1HBZliBuYpFZjWgefE4,viral-us-weekly-2020-01-02--2020-01-02.csv,January,1,Viral 50,2020-01-02,757aE44tKEUQEqRuT6GnEB,melodic rap,rap,trap
83,34,Dance Monkey,Tones And I,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku,viral-us-weekly-2020-01-02--2020-01-02.csv,January,1,Viral 50,2020-01-02,2NjfBq1NflQcKSeiDooVjY,australian pop,pop,
84,35,Let Me Know (I Wonder Why Freestyle),Juice WRLD,https://open.spotify.com/track/3wwo0bJvDSorOpNfzEkfXx,viral-us-weekly-2020-01-02--2020-01-02.csv,January,1,Viral 50,2020-01-02,4MCBfE4596Uoi2O4DtmEMz,chicago rap,melodic rap,
85,36,everything i wanted,Billie Eilish,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ,viral-us-weekly-2020-01-02--2020-01-02.csv,January,1,Viral 50,2020-01-02,6qqNVTkY8uBg9cP3Jd7DAH,electropop,pop,
86,37,Ayy Macarena,Tyga,https://open.spotify.com/track/6LcauUZjF1eXQrgqMUecHX,viral-us-weekly-2020-01-02--2020-01-02.csv,January,1,Viral 50,2020-01-02,5LHRHt1k9lMyONurDHEdrp,dance pop,hip hop,pop rap
87,38,Yellow Hearts,Ant Saunders,https://open.spotify.com/track/2W4yABdLc4Jnds67Poi5Nl,viral-us-weekly-2020-01-02--2020-01-02.csv,January,1,Viral 50,2020-01-02,4jpsw9CQS439N0B7SecMgf,chill r&b,pop,
88,39,Popular Monster,Falling In Reverse,https://open.spotify.com/track/4GssB27iJeqmfGxS94Tfij,viral-us-weekly-2020-01-02--2020-01-02.csv,January,1,Viral 50,2020-01-02,2CmaKO2zEGJ1NWpS1yfVGz,metalcore,modern rock,pop punk
89,40,Ballin' (with Roddy Ricch),Mustard,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY,viral-us-weekly-2020-01-02--2020-01-02.csv,January,1,Viral 50,2020-01-02,0YinUQ50QDB7ZxSCLyQ40k,cali rap,hip hop,pop rap
90,41,Birthday Suit,Cosmo Sheldrake,https://open.spotify.com/track/5feuWfAXA4rEKH9pXCjOV2,viral-us-weekly-2020-01-02--2020-01-02.csv,January,1,Viral 50,2020-01-02,6hV6oxGLeLFw17DGjIPkYD,uk pop,,
91,42,"One Beer (HARDY feat. Lauren Alaina, Devin Dawson)",HIXTAPE,https://open.spotify.com/track/5FmvaZGd6fulojSToozLRD,viral-us-weekly-2020-01-02--2020-01-02.csv,January,1,Viral 50,2020-01-02,4SbuhLih8eWLmqFzzmM3AK,contemporary country,,
92,43,We Are Not the Same,Young Roc,https://open.spotify.com/track/0ThoRrB0xQHnBRcosHoYFW,viral-us-weekly-2020-01-02--2020-01-02.csv,January,1,Viral 50,2020-01-02,5ycH6CkEItjfS7VPVNg5kQ,unspecified,,
93,44,Y U Gotta B Like That,Audrey Mika,https://open.spotify.com/track/45StvejYUdIsyUwqdZ7iJM,viral-us-weekly-2020-01-02--2020-01-02.csv,January,1,Viral 50,2020-01-02,3JDG63cSaK3xgDnB2H55Xp,alt z,chill r&b,
94,45,BOP,DaBaby,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN,viral-us-weekly-2020-01-02--2020-01-02.csv,January,1,Viral 50,2020-01-02,4r63FhuTkUYltbVAg5TQnk,north carolina hip hop,rap,
95,46,"Hey Boy, Hey Girl",Upchurch,https://open.spotify.com/track/47f6eZgviwSZciXGv2iWYg,viral-us-weekly-2020-01-02--2020-01-02.csv,January,1,Viral 50,2020-01-02,2pSObt5Fk8izuX8ZfI3jRn,contemporary country,country rap,redneck
96,47,stupid,Tate McRae,https://open.spotify.com/track/4k3uABcX9iaGlt5pRJhumi,viral-us-weekly-2020-01-02--2020-01-02.csv,January,1,Viral 50,2020-01-02,45dkTj5sMRSjrmBSBeiHym,alt z,dance pop,electropop
97,48,More Hearts Than Mine,Ingrid Andress,https://open.spotify.com/track/0LcspVKJxhEQQSvVMiTPWz,viral-us-weekly-2020-01-02--2020-01-02.csv,January,1,Viral 50,2020-01-02,0jPnVIasXzBYjrlpO5irii,contemporary country,country pop,
