,Unnamed: 0,Position,Track Name,Artist,Streams,URL,Filename,Month,Week Number,Type,Date,Artist ID,Genre 1,Genre 2,Genre 3
642,42,43,Lucid Dreams,Juice WRLD,3808250,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,4MCBfE4596Uoi2O4DtmEMz,chicago rap,melodic rap,
643,43,44,GOODMORNINGTOKYO!,TOKYO’S REVENGE,3698347,https://open.spotify.com/track/0Q2n5yzl2XRqYbV77tZNYp,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,5TbLOwv8BNnik3f03NZJlt,meme rap,sad rap,vapor trap
644,44,45,Robbery,Juice WRLD,3692569,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,4MCBfE4596Uoi2O4DtmEMz,chicago rap,melodic rap,
645,45,46,B.I.T.C.H.,Megan Thee Stallion,3621036,https://open.spotify.com/track/06scTb0zbkxYNgpAB3J9fN,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,181bsRPaVXVlUKXrxwZfHK,houston rap,pop,pop rap
646,46,47,What If I Told You That I Love You,Ali Gatie,3558089,https://open.spotify.com/track/3cqPu20DGTGUoZtbJH2Dmi,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,4rTv3Ejc7hKMtmoBOK1B4T,canadian hip hop,pop,
647,47,48,Heartless,The Weeknd,3420719,https://open.spotify.com/track/57vxBYXtHMk6H1aD29V7PU,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,1Xyo4u8uXC1ZmMpatF05PJ,canadian contemporary r&b,canadian pop,pop
648,48,49,Suge,DaBaby,3416244,https://open.spotify.com/track/2gwkD6igEhQbDQegRCcdoB,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,4r63FhuTkUYltbVAg5TQnk,north carolina hip hop,rap,
649,49,50,"10,000 Hours (with Justin Bieber)",Dan + Shay,3378097,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,7z5WFjZAIYejWy0NI5lv4T,contemporary country,country,pop
650,50,51,Eleven,Khalid,3155142,https://open.spotify.com/track/1ToprX3cpBiXoAe5eNSk74,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,6LuN9FCkKOj5PcnpouEgny,alternative r&b,pop,
651,51,52,Ransom,Lil Tecca,3113329,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,4Ga1P7PMIsmqEZqhYZQgDo,melodic rap,rap,trap
652,52,53,Hot (Remix) [feat. Gunna and Travis Scott],Young Thug,3087267,https://open.spotify.com/track/4ea9w8c4ROqiZpJVhfBA3m,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,50co4Is1HCEo8bhOyUWKpn,atl hip hop,atl trap,gangster rap
653,53,54,Truth Hurts,Lizzo,3069612,https://open.spotify.com/track/3HWzoMvoF3TQfYg4UPszDq,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,56oDRnqbIiwx4mymNEv7dS,dance pop,escape room,minnesota hip hop
654,54,55,ORANGE SODA,Baby Keem,3056866,https://open.spotify.com/track/5FkoSXiJPKTNyYgALRJFhD,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,5SXuuuRpukkTvsLuUknva1,hip hop,rap,trap
655,55,56,lovely (with Khalid),Billie Eilish,3049247,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,6qqNVTkY8uBg9cP3Jd7DAH,electropop,pop,
656,56,57,Money In The Grave (Drake ft. Rick Ross),Drake,3044449,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,3TVXtAsR1Inumwj472S9r4,canadian hip hop,canadian pop,hip hop
657,57,58,223's (feat. 9lokknine),YNW Melly,3024256,https://open.spotify.com/track/29ZXwWOOLz9t5fa3eT3i7T,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,1cNDP5yjU5vjeR8qMf4grg,melodic rap,trap,
658,58,59,MIDDLE CHILD,J. Cole,2932286,https://open.spotify.com/track/2JvzF1RMd7lE3KmFlsyZD8,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,6l3HvQ5sa6mXTsMTB19rO5,conscious hip hop,hip hop,north carolina hip hop
659,59,60,me & ur ghost,blackbear,2866621,https://open.spotify.com/track/4yJiXq86uM56uIfIZgE440,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,2cFrymmkijnjDg9SS92EPM,electropop,pop,pop rap
660,60,61,HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Travis Scott,2837006,https://open.spotify.com/track/7h0d2h0fUmzbs7zeFigJPn,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,7A8S43ryYdbWpJKeHRZRcq,rap,trap,
661,61,62,No Guidance (feat. Drake),Chris Brown,2829312,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX,regional-us-weekly-2020-01-24--2020-01-31.csv,January,4,Top 200,2020-01-24,7bXgB6jMjp9ATFy66eO08Z,dance pop,pop,pop rap
